"","NGA.y","Date.From","Articles","Calendar","Degree of centralization","Duration","Formal legal code","Full-time bureaucrats","History","irrigation systems","markets","Mnemonic devices","Peak Date","Polity territory","Population of the largest settlement","Postal stations","Practical literature","Professional priesthood","Professional soldiers","Religious levels","Roads","Sacred Texts","Script","Settlement hierarchy","Specialized government buildings","Tokens","Written records"
"305","Sogdiana",-999,NA,"absent","quasi-polity","1000-521 BCE",NA,NA,"absent","present",NA,NA,NA,NA,"10000",NA,"absent",NA,NA,NA,"inferred present","absent","absent","3",NA,NA,"absent"
"306","Southern China Hills",1896,"present","absent","unitary state","1895-1941 CE","absent","absent","absent","absent","present","suspected unknown",NA,NA,NA,"present","inferred absent","absent","absent","1","absent","present","present","1",NA,"absent","inferred absent"
"307","Southern China Hills",1701,"present","absent","quasi-polity","1701-1895 CE","absent","inferred absent","absent","present",NA,NA,"1790 CE","10100","5000","absent","absent","absent","suspected unknown","1","present","absent","absent","2",NA,"absent","absent"
"308","Southern Mesopotamia",-2003,"absent",NA,"quasi-polity","2004-1763 BCE","present","present","present","present","present",NA,NA,NA,"175000",NA,"present","present","present","4","inferred present","present","present","4","absent","present","present"
"309","Southern Mesopotamia",750,"present","present","unitary state","750-946 CE","present","present","present","present","present","present","809 CE","8300000","900000","present","present","absent","present","2","present","present","present","6","present","suspected unknown","present"
"310","Southern Mesopotamia",1191,"present","present","unitary state","1191-1258 CE","present","suspected unknown","present","inferred present","suspected unknown","suspected unknown","1226 CE","750000","1000000","suspected unknown","present","absent","present","2","present","present","present","4","present","suspected unknown","present"
"311","Southern Mesopotamia",-2350,"present","present","unitary state","2270-2083 BCE","inferred present","present","present","present","inferred present","present","2190-2154 BCE","450000","20000","inferred present","present","present","present","4","present","present","present","4","absent",NA,"present"
"312","Southern Mesopotamia",-1894,"present",NA,"nominal(-1792 BCE)","2000 - 1600 BCE","present",NA,NA,"present","present",NA,"1792-1750 BCE","400000",NA,NA,NA,NA,"present",NA,NA,NA,"present","4",NA,NA,"present"
"313","Southern Mesopotamia",-1595,"present","inferred present","confederated state","1595-1150 BCE","inferred present","present","present","present","present",NA,"1359-1333 BCE","200000",NA,NA,"present","present",NA,"3","inferred present","present","present","4","absent","present","present"
"314","Southern Mesopotamia",-1005,"present","inferred present","nominal","1005-986 BCE","inferred present",NA,"present","present","present",NA,"1005 BCE-989 BCE",NA,NA,NA,"inferred present","present",NA,"3","inferred present","present","present","3","inferred absent","present","present"
"315","Southern Mesopotamia",-979,"present","inferred absent","nominal","979 BCE-732 BCE","inferred present","inferred present","present","present","present",NA,NA,NA,NA,NA,"inferred absent","present",NA,"3","inferred present","inferred absent","present","3","inferred absent","present","present"
"316","Southern Mesopotamia",-1153,"present","inferred present","confederated state","1153 BCE-1027 BCE","inferred present","present","present","present","present",NA,"1119 BCE-1098 BCE",NA,NA,NA,"inferred present","present",NA,"3","inferred present","present","present","4","absent","present","present"
"317","Southern Mesopotamia",-729,"present","present","unitary state","911-612 BCE","absent","present",NA,"inferred present",NA,NA,"668 BCE","1400000","70000","present",NA,"present","present","3","present",NA,"present","6","present",NA,"present"
"318","Southern Mesopotamia",-626,"present","present","unitary state","626 BCE-539 BCE",NA,"present","present","present","present",NA,"604 BCE-562 BCE","750000",NA,NA,NA,"present",NA,"4","present","present","present","5",NA,"present","inferred present"
"319","Southern Mesopotamia",-539,"present","present","unitary state","550-331 BCE","present","present","present","present","inferred present","inferred present","500 BCE","4800000","200000","present","inferred present","inferred present","present","3","present","inferred present","present","5","present","suspected unknown","present"
"320","Southern Mesopotamia",947,"present","present","confederated state","932-1062 CE","present","inferred present","present","present","present","suspected unknown","983 CE","900000","500000","present","suspected unknown","suspected unknown","present","3","present","inferred present","present","4","suspected unknown","suspected unknown","present"
"321","Southern Mesopotamia",1263,"present","present","unitary state","1256-1339 CE","present","present","present","present","present","suspected unknown","1316 CE","3800000","100000","present","present","present","present","3","present","present","present","4","present","suspected unknown","present"
"322","Southern Mesopotamia",-143,"present","present","confederated state","247 BCE - 40 CE","suspected unknown","present","present","present","present","suspected unknown","120 BCE","3000000","400000","present","present","present","present","3","present","present","present","4","present","suspected unknown","present"
"323","Southern Mesopotamia",41,"present","present","confederated state","41-226 CE","suspected unknown","present","present","present","present","suspected unknown","50-100 CE","1900000","400000","present","present","present","present","3","present","present","present","4","present","suspected unknown","present"
"324","Southern Mesopotamia",1471,"present","present","unitary state","1501-1722 CE","present","present","present","inferred present","present","suspected unknown","1629 CE","2700000","200000","absent","present","present","present","5","present","present","present","4","present","suspected unknown","present"
"325","Southern Mesopotamia",499,"present","inferred present","unitary state","488-642 CE","present","present","present","present","inferred present","suspected unknown","570 CE","3450000","500000","present","present","inferred present","present","4","suspected unknown","inferred present","present","6","inferred present",NA,"present"
"326","Southern Mesopotamia",-312,"present","present","unitary state","312-63 BCE","present","present","inferred present","present","present","suspected unknown","281 BCE","3600000","50000","present","suspected unknown","present","present","4","present","inferred present","present","6","present","suspected unknown","present"
