"","NGA.y","Date.From","Articles","Calendar","Degree of centralization","Duration","Formal legal code","Full-time bureaucrats","History","irrigation systems","markets","Mnemonic devices","Peak Date","Polity territory","Population of the largest settlement","Postal stations","Practical literature","Professional priesthood","Professional soldiers","Religious levels","Roads","Sacred Texts","Script","Settlement hierarchy","Specialized government buildings","Tokens","Written records"
"398","Upper Egypt",-1720,"present","present","quasi-polity","1720-1567 BCE","inferred present","present","inferred present","inferred absent","inferred present","suspected unknown","1555 BCE","10000","50000","absent",NA,"present","present","3","inferred present","present","present","4","inferred present","suspected unknown","present"
"399","Upper Egypt",-1070,"present","present","quasi-polity","1069-747 BCE","suspected unknown","present","inferred present","inferred present","inferred present","suspected unknown","924 BCE","190000","120000","inferred absent","inferred present","present","inferred present","3","inferred present","inferred present","present","3","inferred present","suspected unknown","present"
"400","Upper Egypt",868,"present","present","unitary state","868-969 CE","inferred present","present","inferred present","present","present","present","895 CE","800000","150000","inferred present","inferred present","absent","present","2","present","present","present","6","present","suspected unknown","present"
"401","Upper Egypt",750,"present","present","unitary state","750-946 CE","present","present","present","present","present","present","809 CE","8300000","900000","present","present","absent","present","2","present","present","present","6","present","suspected unknown","present"
"402","Upper Egypt",-525,"present","present","unitary state","550-331 BCE","present","present","present","present","inferred present","inferred present","500 BCE","4800000","200000","present","inferred present","inferred present","present","3","present","inferred present","present","5","present","suspected unknown","present"
"403","Upper Egypt",-760,"present","present","confederated state","747-656 BCE","suspected unknown","present","inferred present","present","present","suspected unknown","663 BCE","600000","65000","suspected unknown","inferred present","present","present","6","inferred present","present","present","4","inferred present","suspected unknown","present"
"404","Upper Egypt",661,"present","present","unitary state","661-750 CE","present","present","present","present","present","present","724 CE","9000000","200000","present","present","present","present","2","present","present","present","6","present",NA,"present"
"405","Upper Egypt",970,"present","present","unitary state","909-1171 CE","present","present","present","present","present","present","996 CE","631000","120000","present","present","inferred present","present","5","present","present","present","6","present","suspected unknown","present"
"406","Upper Egypt",395,"present","present","unitary state","395-631 CE","present","present","present","present","present","inferred present","527-542 CE","1400000","500000","present","present","present","present","7","present","present","present","6","present","present","present"
"407","Upper Egypt",1517,"present","present","unitary state","1517-1683 CE","present","present","present","present","present","present","1520-1566 CE","4836000","650000","present","present","present","present","4","present","present","present","6","present",NA,"present"
"408","Upper Egypt",1683,"present","inferred present","unitary state","1683-1839 CE","present","present","inferred present","present","present","present","1683 CE","4920000","700000","present","present","present","present","4","present","inferred present","present","6","present",NA,"present"
"409","Upper Egypt",284,"present","present","unitary state","285-394 CE","present","present","present","present","present",NA,"394 CE","4000000","800000","present","present","present","present","5","present","present","present","7","present","present","present"
"410","Valley of Oaxaca",1101,"absent","present","quasi-polity","900-1520 CE",NA,"inferred absent","absent",NA,NA,"absent",NA,NA,"4236","absent","absent","present","present","3","absent","absent","inferred present","2","suspected unknown","absent","inferred present"
"411","Valley of Oaxaca",900,"absent","present","quasi-polity","900-1520 CE",NA,"inferred absent","absent",NA,NA,"absent",NA,NA,"4236","absent","absent","present","present","3","absent","absent","inferred present","2","suspected unknown","absent","inferred present"
"412","Valley of Oaxaca",-1150,"absent","absent","quasi-polity","1150 BCE-700 BCE","inferred absent","inferred absent","absent","absent","absent",NA,"1150 BCE-850 BCE","suspected unknown","791","inferred absent","absent","inferred absent","inferred absent","1","absent","absent","absent","2","inferred absent","absent","absent"
"413","Valley of Oaxaca",1516,"present","present","confederated state","1516-1700 CE","present","present","present","present","present",NA,"1556-1598","7100000","224000","inferred present","present","present","present","10","present","present","present","7","present",NA,"present"
"414","Valley of Oaxaca",-500,"suspected unknown","present",NA,"500 BCE-300 BCE","absent","absent","absent","absent","inferred present","absent",NA,"1300","5280","absent","absent","absent","absent","1","absent","absent","present","2","absent","suspected unknown","present"
"415","Valley of Oaxaca",-300,"suspected unknown","present","unitary state","300 BCE-100 BCE","absent","suspected unknown","absent","present","inferred present","absent","100 BCE","5000","17200","absent","absent","present","present","1","absent","absent","present","4","absent","suspected unknown","present"
"416","Valley of Oaxaca",-100,"suspected unknown","present","unitary state","100 BCE-200 CE","absent","suspected unknown","absent","present","inferred present","absent","200 BCE","20000","14500","absent","absent","present","present","suspected unknown","absent","absent","present","4","inferred present","suspected unknown","present"
"417","Valley of Oaxaca",200,"suspected unknown","present","unitary state","200 CE-500 CE","absent","suspected unknown","absent","present","present","absent",NA,"3000","15000","absent","absent","present","suspected unknown","suspected unknown","absent","absent","present","4","inferred present","suspected unknown","present"
"418","Valley of Oaxaca",500,"suspected unknown","present","quasi-polity","500 CE-900 CE","absent","suspected unknown","absent","present","present","absent",NA,"suspected unknown","15000","absent","absent","inferred present","inferred present",NA,"absent","absent","present","3","present","suspected unknown","present"
"419","Valley of Oaxaca",-700,"suspected unknown","present","quasi-polity","700-500 BCE","absent","absent","absent","absent","absent","inferred absent",NA,"50","1000","inferred absent","absent","suspected unknown","absent","1","absent","absent","present","3","absent",NA,"present"
"420","Valley of Oaxaca",-1400,"suspected unknown","absent","quasi-polity","1400 BCE-1150 BCE","inferred absent","inferred absent","absent","absent","absent","suspected unknown","1400 BCE-1150 BCE","suspected unknown","71","inferred absent","absent","inferred absent","inferred absent","1","absent","absent","absent","1","inferred absent","suspected unknown","absent"
"421","Yemeni Coastal Plain",1454,"inferred present","present","unitary state","1454-1517 CE","present","inferred present","present","inferred present","present",NA,NA,"suspected unknown","suspected unknown",NA,"present","present","present","3","inferred present","present","present","4","inferred present",NA,"present"
"422","Yemeni Coastal Plain",1538,"present","inferred present","unitary state","1683-1839 CE","present","present","inferred present","present","present","present","1683 CE","4920000","700000","present","present","present","present","4","present","inferred present","present","6","present",NA,"present"
"423","Yemeni Coastal Plain",1637,"suspected unknown","present","loose","1637-1805 CE","present","present","inferred present","absent","present","absent",NA,NA,NA,"suspected unknown","suspected unknown","absent","present","3","suspected unknown","present","present","3","present","suspected unknown","present"
"424","Yemeni Coastal Plain",-450,NA,"inferred present","quasi-polity","450-111 BCE",NA,NA,"absent","present","inferred present",NA,NA,NA,"30000",NA,"absent",NA,NA,NA,"present","absent","present","3","unknown",NA,"present"
"425","Yemeni Coastal Plain",-800,NA,"inferred present","quasi-polity","800-451 BCE",NA,NA,"absent","present",NA,NA,NA,NA,"30000",NA,"absent",NA,NA,NA,NA,"absent","present","3","unknown",NA,"present"
"426","Yemeni Coastal Plain",-110,NA,"inferred present",NA,"110 BCE-149 CE",NA,NA,"absent","present",NA,NA,NA,NA,NA,NA,"absent",NA,NA,NA,"present","absent","present","2",NA,NA,"present"
"427","Yemeni Coastal Plain",-1200,NA,NA,NA,"1200-801 BCE",NA,NA,NA,NA,NA,NA,NA,"unknown","unknown",NA,NA,NA,NA,NA,NA,NA,NA,"2","unknown",NA,NA
"428","Yemeni Coastal Plain",-3500,NA,NA,NA,"3500-1201 BCE",NA,NA,NA,"unknown","unknown",NA,NA,"unknown","unknown",NA,NA,NA,NA,NA,NA,NA,NA,"1","unknown",NA,NA
