"","nga_y","date_from","articles","calendar","degree_of_centralization","foreign_coins","formal_legal_code","full_time_bureaucrats","history","indigenous_coins","irrigation_systems","markets","mnemonic_devices","paper_currency","polity_territory","population_of_the_largest_settlement","postal_stations","practical_literature","precious_metals","professional_priesthood","professional_soldiers","religious_levels","roads","sacred_texts","script","settlement_hierarchy","specialized_government_buildings","tokens","written_records"
"336","Southern Mesopotamia",-2112,NA,TRUE,4,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,NA,NA,FALSE,NA,2e+05,TRUE,TRUE,TRUE,NA,TRUE,4,TRUE,NA,TRUE,4,TRUE,NA,TRUE
"337","Southern Mesopotamia",-9000,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA
"338","Susiana",-5700,TRUE,FALSE,2,NA,FALSE,FALSE,FALSE,NA,TRUE,NA,NA,NA,NA,175,FALSE,FALSE,TRUE,TRUE,FALSE,1,FALSE,FALSE,FALSE,1,FALSE,NA,FALSE
"339","Susiana",-2675,TRUE,TRUE,3,NA,TRUE,TRUE,NA,NA,TRUE,TRUE,TRUE,NA,2e+05,2300,TRUE,TRUE,TRUE,TRUE,TRUE,2,TRUE,NA,TRUE,2,TRUE,NA,TRUE
"340","Susiana",-1100,TRUE,NA,2,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"341","Susiana",25,TRUE,TRUE,4,TRUE,TRUE,NA,TRUE,TRUE,TRUE,TRUE,NA,FALSE,NA,10000,NA,TRUE,NA,NA,NA,NA,TRUE,TRUE,TRUE,4,TRUE,NA,TRUE
"342","Susiana",-4700,TRUE,FALSE,2,NA,FALSE,FALSE,FALSE,NA,TRUE,NA,NA,NA,NA,750,NA,FALSE,TRUE,TRUE,FALSE,NA,FALSE,FALSE,FALSE,2,FALSE,NA,FALSE
"343","Susiana",-5100,TRUE,FALSE,2,NA,FALSE,FALSE,FALSE,NA,TRUE,NA,NA,NA,NA,750,NA,FALSE,TRUE,TRUE,FALSE,1,FALSE,FALSE,FALSE,2,FALSE,NA,FALSE
"344","Susiana",-1500,TRUE,TRUE,4,FALSE,TRUE,TRUE,NA,FALSE,NA,NA,TRUE,FALSE,230000,1500,NA,TRUE,NA,TRUE,NA,2,TRUE,NA,TRUE,4,TRUE,NA,TRUE
"345","Susiana",-1400,TRUE,TRUE,4,FALSE,TRUE,TRUE,NA,FALSE,NA,TRUE,TRUE,FALSE,290000,5000,NA,TRUE,NA,TRUE,NA,2,TRUE,NA,TRUE,4,TRUE,NA,TRUE
"346","Susiana",-1200,TRUE,TRUE,4,FALSE,TRUE,TRUE,NA,FALSE,TRUE,TRUE,TRUE,FALSE,250000,NA,NA,TRUE,TRUE,TRUE,TRUE,2,TRUE,NA,TRUE,4,TRUE,NA,TRUE
"347","Susiana",-900,TRUE,NA,2,FALSE,NA,NA,NA,FALSE,TRUE,NA,NA,FALSE,NA,NA,NA,NA,NA,TRUE,NA,NA,TRUE,NA,NA,3,NA,NA,NA
"348","Susiana",-743,TRUE,NA,4,FALSE,TRUE,TRUE,NA,FALSE,TRUE,TRUE,TRUE,FALSE,3e+05,NA,NA,NA,NA,TRUE,TRUE,NA,TRUE,NA,TRUE,4,TRUE,NA,TRUE
"349","Susiana",-612,TRUE,NA,2,FALSE,NA,TRUE,NA,FALSE,NA,TRUE,TRUE,FALSE,NA,NA,NA,TRUE,NA,TRUE,NA,NA,TRUE,NA,TRUE,NA,TRUE,NA,TRUE
"350","Susiana",-1900,TRUE,TRUE,2,FALSE,TRUE,TRUE,NA,FALSE,TRUE,TRUE,TRUE,FALSE,NA,6500,NA,TRUE,TRUE,TRUE,NA,2,TRUE,NA,TRUE,3,TRUE,NA,TRUE
"351","Susiana",-4300,TRUE,FALSE,2,NA,FALSE,NA,FALSE,NA,TRUE,NA,NA,NA,1,350,NA,FALSE,TRUE,TRUE,FALSE,1,FALSE,FALSE,FALSE,2,NA,NA,FALSE
"352","Susiana",-3800,TRUE,TRUE,4,NA,NA,TRUE,NA,NA,TRUE,NA,TRUE,NA,NA,250,TRUE,TRUE,TRUE,TRUE,TRUE,2,TRUE,NA,TRUE,4,NA,NA,TRUE
"353","Susiana",-3100,TRUE,TRUE,4,NA,NA,TRUE,NA,NA,TRUE,NA,TRUE,NA,NA,2500,NA,TRUE,TRUE,NA,TRUE,2,TRUE,NA,TRUE,2,TRUE,NA,TRUE
"354","Susiana",750,TRUE,TRUE,4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,8300000,9e+05,TRUE,TRUE,TRUE,FALSE,TRUE,2,TRUE,TRUE,TRUE,6,TRUE,NA,TRUE
"355","Susiana",1191,TRUE,TRUE,4,NA,TRUE,NA,TRUE,TRUE,TRUE,NA,NA,FALSE,750000,1e+06,NA,TRUE,TRUE,FALSE,TRUE,2,TRUE,TRUE,TRUE,4,TRUE,NA,TRUE
"356","Susiana",-2250,TRUE,TRUE,4,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,450000,20000,TRUE,TRUE,TRUE,TRUE,TRUE,4,TRUE,TRUE,TRUE,4,FALSE,NA,TRUE
"357","Susiana",-539,TRUE,TRUE,4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4800000,2e+05,TRUE,TRUE,TRUE,TRUE,TRUE,3,TRUE,TRUE,TRUE,5,TRUE,NA,TRUE
"358","Susiana",-7000,TRUE,FALSE,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,175,NA,FALSE,NA,FALSE,FALSE,1,FALSE,FALSE,FALSE,1,FALSE,NA,FALSE
"359","Susiana",947,TRUE,TRUE,3,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,9e+05,5e+05,TRUE,NA,NA,NA,TRUE,3,TRUE,TRUE,TRUE,4,NA,NA,TRUE
"360","Susiana",1263,TRUE,TRUE,4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,3800000,1e+05,TRUE,TRUE,TRUE,TRUE,TRUE,3,TRUE,TRUE,TRUE,4,TRUE,NA,TRUE
"361","Susiana",-143,TRUE,TRUE,3,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,NA,FALSE,3e+06,4e+05,TRUE,TRUE,TRUE,TRUE,TRUE,3,TRUE,TRUE,TRUE,4,TRUE,NA,TRUE
"362","Susiana",1505,TRUE,TRUE,4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,2700000,2e+05,FALSE,TRUE,NA,TRUE,TRUE,5,TRUE,TRUE,TRUE,4,TRUE,NA,TRUE
"363","Susiana",499,TRUE,TRUE,4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,FALSE,3450000,5e+05,TRUE,TRUE,NA,TRUE,TRUE,4,NA,TRUE,TRUE,6,TRUE,NA,TRUE
"364","Susiana",-312,TRUE,TRUE,4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,3600000,50000,TRUE,NA,NA,TRUE,TRUE,4,TRUE,TRUE,TRUE,6,TRUE,NA,TRUE
"365","Susiana",1056,TRUE,TRUE,3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,FALSE,4e+06,5e+05,TRUE,TRUE,TRUE,TRUE,TRUE,3,TRUE,TRUE,TRUE,4,TRUE,NA,TRUE
"366","Susiana",-1700,TRUE,TRUE,2,FALSE,TRUE,TRUE,NA,FALSE,TRUE,TRUE,TRUE,NA,NA,6500,NA,TRUE,NA,TRUE,TRUE,2,TRUE,NA,TRUE,3,TRUE,NA,TRUE
"367","Susiana",663,TRUE,TRUE,4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,9e+06,2e+05,TRUE,TRUE,TRUE,TRUE,TRUE,2,TRUE,TRUE,TRUE,6,TRUE,NA,TRUE
"368","Susiana",1471,NA,TRUE,0,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,NA,NA,1800000,NA,TRUE,TRUE,NA,NA,TRUE,1,TRUE,TRUE,TRUE,3,TRUE,NA,TRUE
"369","Susiana",-7200,NA,FALSE,2,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,250,FALSE,FALSE,NA,FALSE,NA,0,FALSE,FALSE,FALSE,1,FALSE,NA,FALSE
"370","Susiana",-6000,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA,FALSE,NA,175,NA,FALSE,NA,FALSE,FALSE,1,NA,FALSE,FALSE,1,FALSE,NA,FALSE
"371","Susiana",-7800,NA,FALSE,2,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,250,FALSE,FALSE,NA,FALSE,FALSE,0,FALSE,FALSE,FALSE,1,FALSE,NA,FALSE
"372","Susiana",220,NA,NA,4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,FALSE,3100000,250000,TRUE,TRUE,NA,TRUE,FALSE,4,TRUE,NA,TRUE,5,TRUE,NA,TRUE
"373","Susiana",1394,NA,TRUE,4,TRUE,NA,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,5500000,150000,TRUE,TRUE,NA,TRUE,TRUE,1,TRUE,TRUE,TRUE,6,TRUE,NA,TRUE
"374","Susiana",1794,NA,TRUE,4,NA,TRUE,TRUE,TRUE,TRUE,NA,TRUE,NA,NA,2e+06,70000,NA,TRUE,NA,TRUE,TRUE,NA,TRUE,TRUE,TRUE,5,TRUE,NA,TRUE
"375","Susiana",-2028,NA,TRUE,3,FALSE,NA,TRUE,NA,FALSE,TRUE,NA,TRUE,FALSE,NA,6500,NA,TRUE,TRUE,TRUE,NA,2,NA,NA,TRUE,3,TRUE,NA,TRUE
"376","Susiana",-2112,NA,TRUE,4,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,NA,NA,FALSE,NA,2e+05,TRUE,TRUE,TRUE,NA,TRUE,4,TRUE,NA,TRUE,4,TRUE,NA,TRUE
"377","Upper Egypt",-4400,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,25,FALSE,FALSE,NA,FALSE,FALSE,1,FALSE,FALSE,FALSE,1,FALSE,NA,FALSE
"378","Upper Egypt",-31,TRUE,TRUE,4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,FALSE,5800000,9e+05,TRUE,TRUE,TRUE,TRUE,TRUE,4,TRUE,TRUE,TRUE,7,TRUE,TRUE,TRUE
"379","Upper Egypt",1171,TRUE,TRUE,4,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1500000,2e+05,NA,TRUE,TRUE,TRUE,TRUE,4,TRUE,TRUE,TRUE,5,TRUE,TRUE,TRUE
"380","Upper Egypt",-3100,TRUE,TRUE,4,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,NA,NA,FALSE,50000,6000,FALSE,TRUE,TRUE,FALSE,FALSE,3,TRUE,TRUE,TRUE,4,FALSE,TRUE,TRUE
"381","Upper Egypt",-2900,TRUE,TRUE,4,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,NA,NA,FALSE,3e+05,6000,FALSE,TRUE,TRUE,FALSE,FALSE,3,TRUE,TRUE,TRUE,4,FALSE,NA,TRUE
"382","Upper Egypt",-404,TRUE,TRUE,4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,FALSE,5e+05,50000,TRUE,TRUE,TRUE,TRUE,TRUE,2,TRUE,TRUE,TRUE,4,TRUE,NA,TRUE
"383","Upper Egypt",1260,TRUE,TRUE,4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,2100000,2e+05,TRUE,TRUE,TRUE,TRUE,TRUE,3,TRUE,TRUE,TRUE,6,TRUE,NA,TRUE
"384","Upper Egypt",1412,TRUE,TRUE,4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,2100000,150000,TRUE,TRUE,TRUE,TRUE,TRUE,3,TRUE,TRUE,TRUE,6,TRUE,NA,TRUE
"385","Upper Egypt",1348,TRUE,TRUE,4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,2100000,150000,TRUE,TRUE,TRUE,TRUE,TRUE,3,TRUE,TRUE,TRUE,6,TRUE,NA,TRUE
"386","Upper Egypt",-2016,TRUE,TRUE,4,FALSE,TRUE,TRUE,NA,FALSE,TRUE,TRUE,NA,FALSE,450000,30000,FALSE,TRUE,TRUE,TRUE,TRUE,4,TRUE,TRUE,TRUE,4,NA,NA,TRUE
"387","Upper Egypt",-3800,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,FALSE,5000,50,FALSE,FALSE,TRUE,FALSE,FALSE,1,FALSE,FALSE,FALSE,2,FALSE,TRUE,FALSE
"388","Upper Egypt",-3550,TRUE,FALSE,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,FALSE,NA,FALSE,5000,5000,FALSE,FALSE,TRUE,FALSE,FALSE,NA,FALSE,FALSE,TRUE,2,TRUE,TRUE,FALSE
"389","Upper Egypt",-3300,TRUE,NA,2,FALSE,FALSE,TRUE,NA,FALSE,TRUE,TRUE,NA,FALSE,5000,5000,FALSE,NA,TRUE,FALSE,FALSE,2,FALSE,NA,TRUE,2,TRUE,TRUE,TRUE
"390","Upper Egypt",-1293,TRUE,TRUE,4,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,746000,250000,NA,TRUE,TRUE,TRUE,TRUE,5,TRUE,TRUE,TRUE,4,TRUE,NA,TRUE
"391","Upper Egypt",-1550,TRUE,TRUE,4,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,NA,FALSE,9e+05,30000,FALSE,TRUE,TRUE,TRUE,TRUE,5,TRUE,TRUE,TRUE,5,TRUE,NA,TRUE
"392","Upper Egypt",-2650,TRUE,TRUE,4,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,NA,FALSE,75000,50000,FALSE,TRUE,TRUE,FALSE,NA,6,TRUE,TRUE,TRUE,4,TRUE,NA,TRUE
"393","Upper Egypt",-2350,TRUE,TRUE,4,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,NA,FALSE,75000,30000,FALSE,TRUE,TRUE,FALSE,NA,6,TRUE,TRUE,TRUE,4,TRUE,TRUE,TRUE
"394","Upper Egypt",-305,TRUE,TRUE,4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1e+06,160000,TRUE,TRUE,TRUE,TRUE,TRUE,1,TRUE,TRUE,TRUE,6,TRUE,TRUE,TRUE
"395","Upper Egypt",-217,TRUE,TRUE,4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,833000,5e+05,TRUE,TRUE,TRUE,TRUE,TRUE,1,TRUE,TRUE,TRUE,6,TRUE,TRUE,TRUE
"396","Upper Egypt",-2150,TRUE,TRUE,4,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,NA,FALSE,20000,30000,FALSE,TRUE,NA,TRUE,TRUE,2,TRUE,TRUE,TRUE,4,TRUE,NA,TRUE
"397","Upper Egypt",-655,TRUE,TRUE,4,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,NA,FALSE,3e+05,25000,NA,TRUE,TRUE,TRUE,TRUE,3,TRUE,TRUE,TRUE,4,TRUE,NA,TRUE
"398","Upper Egypt",-1720,TRUE,TRUE,2,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,FALSE,10000,50000,FALSE,NA,TRUE,TRUE,TRUE,3,TRUE,TRUE,TRUE,4,TRUE,NA,TRUE
"399","Upper Egypt",-1070,TRUE,TRUE,2,FALSE,NA,TRUE,TRUE,FALSE,TRUE,TRUE,NA,FALSE,190000,120000,FALSE,TRUE,TRUE,TRUE,TRUE,3,TRUE,TRUE,TRUE,3,TRUE,NA,TRUE
"400","Upper Egypt",868,TRUE,TRUE,4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,8e+05,150000,TRUE,TRUE,TRUE,FALSE,TRUE,2,TRUE,TRUE,TRUE,6,TRUE,NA,TRUE
"401","Upper Egypt",750,TRUE,TRUE,4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,8300000,9e+05,TRUE,TRUE,TRUE,FALSE,TRUE,2,TRUE,TRUE,TRUE,6,TRUE,NA,TRUE
"402","Upper Egypt",-525,TRUE,TRUE,4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4800000,2e+05,TRUE,TRUE,TRUE,TRUE,TRUE,3,TRUE,TRUE,TRUE,5,TRUE,NA,TRUE
"403","Upper Egypt",-760,TRUE,TRUE,3,FALSE,NA,TRUE,TRUE,FALSE,TRUE,TRUE,NA,FALSE,6e+05,65000,NA,TRUE,TRUE,TRUE,TRUE,6,TRUE,TRUE,TRUE,4,TRUE,NA,TRUE
"404","Upper Egypt",661,TRUE,TRUE,4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,9e+06,2e+05,TRUE,TRUE,TRUE,TRUE,TRUE,2,TRUE,TRUE,TRUE,6,TRUE,NA,TRUE
"405","Upper Egypt",970,TRUE,TRUE,4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,631000,120000,TRUE,TRUE,TRUE,TRUE,TRUE,5,TRUE,TRUE,TRUE,6,TRUE,NA,TRUE
"406","Upper Egypt",395,TRUE,TRUE,4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1400000,5e+05,TRUE,TRUE,TRUE,TRUE,TRUE,7,TRUE,TRUE,TRUE,6,TRUE,TRUE,TRUE
"407","Upper Egypt",1517,TRUE,TRUE,4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4836000,650000,TRUE,TRUE,TRUE,TRUE,TRUE,4,TRUE,TRUE,TRUE,6,TRUE,NA,TRUE
"408","Upper Egypt",1683,TRUE,TRUE,4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4920000,7e+05,TRUE,TRUE,NA,TRUE,TRUE,4,TRUE,TRUE,TRUE,6,TRUE,NA,TRUE
"409","Upper Egypt",284,TRUE,TRUE,4,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,FALSE,4e+06,8e+05,TRUE,TRUE,TRUE,TRUE,TRUE,5,TRUE,TRUE,TRUE,7,TRUE,TRUE,TRUE
"410","Valley of Oaxaca",1101,FALSE,TRUE,2,FALSE,NA,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,4236,FALSE,FALSE,FALSE,TRUE,TRUE,3,FALSE,FALSE,TRUE,2,NA,FALSE,TRUE
